Nie bój się!	Niy bōj sie!
— Tak bardzo bym chciała… Tak bardzo bym chciała… — i Kopciuszek zanosiła się takim płaczem, że nie mogła dokończyć zdania.	Moc bych chciała... — Tak ciynżko płakała, iże niy była w sztańdzie skōńczyć.
— Ja wcale nie uważam tego za właściwe.	– Ino tak myślisz.
— Niczego od ciebie nie potrzebuję i o nic cię nie proszę, dlaczegóż więc nie możemy być przyjaciółmi?	– Nic ôd ciebie niy chcã.
Ponieważ tych ludzi należy uważać za ślepych, Scrooge sądził zatem, że lepiej, aby ich kalectwo ujawniało się w postaci zmarszczek dokoła oczu, wywołanych ustawicznym wyśmiewaniem się z bliźnich, niż w jakiej mniej przyjemnej postaci, jego dusza była pełna pogody i wesela — to mu zupełnie wystarczało do szczęścia.	I możno duch mioł uciechã we aszyniu sie swojōm siyłōm abo to była czyńść ôd niego miyłyj i szczyryj natury, a tyż jedność ze biydnymi, co przikludziyły go do buchaltra ôd Scrooge’a.
Pół tuzina ulicznych lamp gazowych nie oświetliłoby dostatecznie tych schodów, można więc przypuszczać, że przy jednej mdłej świeczce, którą Scrooge sobie przyświecał, było dosyć ciemno i ponuro.	Szejś gazowych lampōw z ulicy niy ôświytlyłoby tyj flury do porzōndku, tōż możecie sie wyforsztelować, jak mało tam było widać.
— Zapewniam cię, ojcze Joe — rzekła poważnie posługaczka — że wobec takiego człowieka uważałabym wszelkie skrupuły za śmieszność.	– No to ôtwōrz terŏz mōj miech, Joe – pedziała piyrszŏ baba.
Ha, ha!	Ha, ha!
Korzystając z tego świetnego rezultatu zapału, stary Fezziwig wstrzymał tańczących klaśnięciem w dłonie i zawołał:	A kej stary Fezziwig i ôd niego ślubnŏ przetańcowali cołki taniec, ôn skoczōł tak zwyrtnie, iże zdŏwało sie, że ôn klasnōł nogami i stanōł na nich nazŏd.
— Dzień dobry, sir!	Dobryj nocy, panowie!
— Jakimże sposobem? — zapytał rozciekawiony Joe.	– Czymu by sie przemarniyła? – spytoł Joe.
— Masz mi pokazać rzeczy — zapytał Scrooge — które staną się dopiero w przyszłości?	– Pokŏżesz mi ôbrŏzy rzeczy, co jeszcze sie niy trefiyły, ale trefiōm sie we czasie, co je przed nami, pra? – pytoł dalij Scrooge.
— Więc powiedz…	– Możesz...
Ale ogród otoczony był wysokim murem i nikt nie ważył się wejść doń, gdyż należał do złej czarownicy, która posiadała wielką moc i której wszyscy się bali.	Ôn bōł ale ôtoczōny wysokim murym i żŏdyn niy śmioł dō niego wchodzić, bo nŏleżoł do czarownice, co miała wielkõ moc i boł sie jij cołki świat.
Scrooge wcale nie kazał zamalować nazwiska starego Marleya na szyldzie swego domu handlowego.	Scrooge niy zamalowoł miana ôd Marleya.
— To ja, twój wuj, Scrooge.	– Toć, pana Scrooge’a.
Jakże późno przychodzisz! — rzekła pani Cratchit, obsypując córkę pocałunkami, a równocześnie zdejmując z niej szal i kapelusz.	– No wiysz ty co, dzioucha, coś ty je takŏ niyskornŏ? – pedziała Cratchitowŏ, ôbsuła jōm kusikami i wziōnła jij szal i czepicã.
Przy boku jego wisiała u pasa stara pochwa, na poły zjedzona przez rdzę, bez miecza.	Z pasa mu wisioł stary futrŏl bez miecza we postrzodku, a do pōłowy bōł zeżarty ôd rōstu.
Dlaczego przychodzą mnie męczyć?	Czymu mie tak torturujesz?
Duch Marleya	Duch ôd Marleya niy dŏwoł mu pokoju.
Z ostatnim uderzeniem godziny przypomniał sobie zapowiedź Jakuba Marleya, a wtedy, podniósłszy oczy, spostrzegł nowego Ducha.	Jak ôstatnie wybicie ustało grać, spōmnioł sie przepowiydź Jakōba Marleya i kej podniōs ôczy, ôbŏczōł ôpowŏżnego fantōma, przikrytego kapucōm bliżōncego sie dō niego choby mgła.
— Czy nie mam słuszności?	– Sōm my zbankrucyni?
W tej oto ohydnej dzielnicy znajdował się nędzny sklepik, w którym sprzedawano stare żelastwo, gałgany, stare butelki, kości, resztki wczorajszych marnych obiadów zebranych na brudnych talerzach.	Głymboko we tyj dukli grzychu stoł niski skłŏd pod spadzitym dachym, kaj ôcyl, stare chadry, flaszki, kości i ściepki z miynsa były przedŏwane.
Przez prawie dwa dni nic nie jadły, tak były przepełnione radością.	Były tak poruszōne ôd radości, iże bez hned dwa dni nic niy jadły.
— Wiwat!	– Ôstŏw mie!
Jak Bóg dał!	Boże!
Scrooge tak samo nie wiedział, jak nie wie czytelnik.	– Nic takigo – pedzioł Scrooge.
Dlatego po wielu latach można było czytać nad drzwiami wejściowymi tego domu szyld: „Scrooge i Marley”.	Nad dźwiyrzami durch po latach wisiało „Scrooge i Marley”.
Stójka, co chodził nocą po wsi i aby nie zasnąć, liczył gwiazdy na niebie lub rozmawiał po cichu z psami, widział nieraz białą koszulę Janka, przemykającą się w ciemności ku karczmie.	Wachtyrz, co chodziōł nocōm po wsi i coby niy usnōńć, rachowoł gwiozdy na niebie abo ôzprawioł po cichu z psami, widzioł niyroz bioło koszula ôd Jōnka przelatować po ćmoku ku kaczmie.
— Kto tam?	— Fto tam?
— Nie wiem, którego dziś mamy — monologował Scrooge — nie wiem też, jak długo przebywałem z duchami.	– Ani niy wiym, co dzisiej za dziyń! – pedzioł Scrooge. – Niy wiym, wiela żech bōł z mŏrami.
Weź!” Lelek poczciwy cichym lotem zakręcił się koło głowy dziecka i zawołał: „Janku, nie!	Weź!” Lelek poczciwy cichym lotym zakryńciōł sie kole gowy ôd bajtla i zawołoł: „Jōnek, niy!
Ta okoliczność zresztą nie zaniepokoiła go nazbyt, gdyż już po odwiedzinach pierwszego widma postanowił w głębi duszy zmienić dotychczasowy sposób życia, przypuszczał więc teraz, że jego nieobecność na giełdzie w tym okresie przyszłości stwierdza, iż w postanowieniu swoim wytrwał.	Niy udziwiyło go to jakoś fest, bo już dugszy czas medykowoł ô tym, coby przedać buchalteryjõ i pōmyśloł sie, co patrzoł sie terŏz na efekty takigo przedeju i zmiany we jego żywobyciu.
Zewnętrzne ciepło lub zimno nie miało wcale wpływu na Scrooge'a.	Zewnyntrzny wŏr abo mrōz mało wpływały na Scrooge’a.
— Idź do ogrodu, a tam, za konewką, znajdziesz sześć jaszczurek; przynieś mi je.	— Idź zaś do zygrody, a za giskanōm znojdziesz sześ jaszczurek.
Nie był to już ten śmiały, niczego nieobawiający się, dawny Scrooge; teraz, chociaż oczy Ducha miały wyraz pogody i łagodności, to jednak unikał ich spojrzenia.	To niy bōł tyn sōm, zŏwzity Scrooge, co przōdzij, i chociŏż ôczy ôd ducha były miyłe i szczodliwe, ôn niy chcioł ich trefić.
— Pół do pierwszej — szepnął Scrooge.	– Sztwierć – pedzioł Scrooge.
Są tutaj i ja jestem tutaj, a obrazy tego, co się zdarzyć mogło, mogą być rozwiane.	Ône sam durch sōm, i jŏch sam je, ciynie tego, co może być, mogōm być zmiyniōne.
— Mój drogi, dobry braciszku!	Halo, mōj dobry kamracie!
Wstał i poszedł do pokoju na górze, oświetlonego i przyozdobionego zielenią jak na dzień wigilijny.	Wyszoł i poszoł na wiyrch do izby, co była uciesznie ôświytlōnŏ i ôbwieszōnŏ Godami.
To figiel, co się zowie!	Co to bōł za jyndyk!
Rzuciły się do jej stóp, aby prosić o przebaczenie za wszystkie krzywdy, które jej wyrządziły.	Ciepły sie jij do stōp, by prosić ô przebŏczynie za cołke złe traktowanie, co skirz niego ciyrpiała.
Wreszcie żona powzięła nadzieję, że Pan Bóg spełni ich życzenie.	W kōńcu kobiyta miała nadziejã, iże Bōg społni jeji pragniynie.
Kiedy Scrooge obudził się, było tak ciemno, że wyglądając z łóżka, mógł zaledwie odróżnić przejrzyste okno od ciemnych ścian pokoju.	Za ciymno, coby jã dobrze ôbejzdrzeć, ale Scrooge ôglōndoł sie naôbkoło ciekawy, coby wiedzieć, co to była za izba.
On tego właśnie pragnął.	Tego ino chcioł.
— Tak!	– Ha ha!
— A może chciałbyś poznać — ciągnął duch — wagę i długość łańcucha, który sam dźwigasz?	– A możno chciołbyś wiedzieć – ciōng duch – jakŏ je wŏgã i dugość tyj kety, co ty sie sōm rychtujesz?
Janek zataił dech w piersiach, ale gruby głos spytał powtórnie:	Jōnek chyciōł dych w piersiach, ale ruby głos spytoł po drugi roz:
— Zagram ci ja, zagram!	— Zagrōm ci, zagrōm!
Przyjdź do nas jutro na obiad.	Przidź dō nŏs jutro na wieczerzõ.
Opowiadała także, iż przed kilku dniami widziała pewną hrabinę i pewnego lorda, a lord był prawie tego wzrostu co Piotr.	A jeszcze jak widziała grŏfkã i grŏfa pŏrã dni tymu, i jak grŏf bōł bezma tak samo wysoki jak Pyjter.
Mroźny szron pokrywał jego głowę, brwi i chudą brodę.	Mioł szrōn na wosach, brwiach i sztywnyj brodzie.
Kopciuszek, która była równie dobra, jak piękna, pozwoliła swym dwóm siostrom zamieszkać w pałacu.	Popieluszka, co była tak dobrŏ jak piyknŏ, ôna dała swojim dwōm siostrōm pōmiyszkanie we pałacu i jeszcze w tyn sōm dziyń wydała je za dwōch wielkich panōw dworu.
— Poznajesz tę drogę? — zapytał Duch.	– Co ci je? – spytoł duch.
Dwie jej łzy zwilżyły jego oczy i królewicz odzyskał wzrok.	Dwie z jeji płaczek zwilżyły mu ôczy, a ône zaś sie stały snŏżne i mōg niymi widzieć jak dŏwnij.
— O, Duchu! — zawołał Scrooge głosem złamanym. — Jeżeli istnieje chociażby jeden człowiek, którego śmierć tego nieszczęśnika zmartwiła, to pokaż mi go, błagam cię!	– Duchu! – pedzioł Scrooge ze złōmanym głosym. – Weź mie stōnd.
Scrooge doznał uczucia wstydu na myśl, że ten jegomość obrzuci go pogardliwym wzrokiem, lecz jednocześnie zrozumiał, jak powinien postąpić.	Scrooge postawiōł to pytanie, pōniywŏż niy wiedzioł, jeźli takŏ przejzdrzistŏ mŏra poradzi siedzieć i zdŏwało mu sie, iże jakby niy mogła, musiałaby to z gańbōm wytuplikować.
Lecz niebawem w jego wytężonych uszach rozległo się złowrogie:	Straszny głos ryknōł we antryju:
Trwało to wszystko pół minuty, może minutę, ale krótka ta chwila wydała się Scrooge'owi nieskończenie długa.	Mogło to być pōł minuty, mogła to być minuta, zdŏwało sie ale, co to była godzina.
— Czy zmieniłem się?	– Zmiyniōłch sie?
Liście bluszczu, jemioły i ostrokrzewu odbijały światło i wyglądały niby mnóstwo małych zwierciadełek.	Liście ôstrokrzewu i jymioły ôdbijały światło choby mocka rozsutych małych zdrzadeł, a ôgyń tańcowoł we kōminku taki srogi, iże takigo niy było tam za Scrooge’a, Marleya ani bez moc zim przed niymi.
— Bądź zdrów! — znów powtórzył Scrooge.	– Sztwierć – pedzioł Scrooge.
Los tego nieszczęśliwego może być moim losem.	Tref tego niyszczynsnego czowieka to może być mōj.
— Niezgorzej — odparł zapytany — a pańskie?	– No a ôd kogo? – ôdpedziała. – Rymy bez nich już niy dostanie, pra?
Nagle drzwi piwnicy otworzyły się z głośnym hukiem, a wtedy Scrooge usłyszał głośniejsze brzęczenie; wyszło ono z piwnicy, zaczęło powoli wstępować po schodach, a wreszcie zatrzymało się przy drzwiach jego pokoju.	Kaj Scrooge słyszoł te słowa?
Przykucnięty w łopuchach, z łokciami opartymi o chude kolana, z otwartymi ustami patrzył i patrzył.	Przicupniynty we łopuchach, ze łokciami ôpartymi ô chude kolana, z ôtwartōm gymbiczkōm patrzoł i patrzoł.
Królewicz popadł w taką rozpacz, że wyskoczył z wieży przez okno.	Krōlōw syn bōł ściykły ôd bōlu i w rozpaczy skoczōł z wieże.
Wspaniale!	Gyszefty!
Odtąd był tak dobrym przyjacielem, tak dobrym chlebodawcą, tak dobrym człowiekiem, jakimi bywali dobrzy ludzie za dobrych, starych czasów, w dobrym, starym kraju, w dobrym, starym mieście, na dobrym, starym świecie.	Zmiyniōł sie w tak dobrego kamrata i dobrego czowieka, jakigo stare dobre miasto niy znało, abo jake inksze stare dobre miasto, krys abo wieś we starym dobrym świecie.
Może szydzić z wigilii Bożego Narodzenia do samej śmierci, ale zdaje mi się, że w końcu przekona się do niej, gdy będę chodził do niego co rok i pytał życzliwie: „Wuju Scrooge, jak się miewasz?”.	Ôn może naśmiywać sie z Godōw aż umrzi, ale kejś musi ô nich cieplij pōmyśleć, bo przecã jak rok za rokym prziłażã dō niego we nojlepszyj launie i gŏdōm „Ujek Scrooge!
— Bądźże zdrów i odczep się ode mnie! — zamruczał już groźnie Scrooge.	– Weź mie! – krziknōł Scrooge. – Niy strzimiã tego!
Chyba bym na głowę upadła!	Musiała bych ôgupieć.
— Czy być może?! — zawołał Scrooge uradowany — A więc biegnij i kup go.	– Ja? – pedzioł Scrooge. – Idź i kup go.
— Dajta — powiada — to zapalę nad wami gromnicę, juże z was nic nie będzie, moja kumo; już wam na tamten świat się wybierać i po dobrodzieja by posłać, żeby wam grzechy wasze odpuścił.	— Pōdźcie, zapola nad wami grōmnica — pado — już z wos nic niy bydzie, moja kōmratko; już wōm czas na tamtyn świat sie wykludzać i po kapelōnka posłać, coby wōm grzychy wasze ôdpuściōł.
— Nie wiesz przypadkiem, czy nie sprzedali tego wielkiego indyka, który wczoraj wieczorem jeszcze wisiał w oknie wystawy?	A niy wiysz, jeźli ôni przedali już tego jyndyka, co wisioł we ôknie?
Nie można powiedzieć, żeby to oni weszli do miasta; raczej miasto, wyrósłszy jakby spod ziemi, otoczyło ich nagle swoim wrzaskiem i gwarem.	Ani niy weszli do miasta, bo radszyj to miasto samo weszło na nich i ôbkrōnżyło ich.
Mgła wdzierała się do mieszkań przez każdą szparę i dziurkę od klucza, a tak była gęsta, że domy na przeciwnej stronie wąskiej ulicy trudno było dojrzeć.	Mgła właziyła do kożdyj szpary i dziurki ôd klucza, a była takŏ gynstŏ, iże chałpy po drugij strōnie ulicy bezma sie traciyły.
Co by on za to dał, gdyby mógł mieć takie skrzypki grające cienko: „Będziem jedli, będziem pili, będziewa się weselili.” Takie deszczułki śpiewające.	Co by ôn doł, keby mōg mieć tako skrzipka, co by grała ciynko: „Bydymy jedli, bydymy piyli, bydymy sie weselyli.” Take deszczki, co śpiywajōm.
Nie ulegało wątpliwości, że ma szczery i niezłomny zamiar jak najrychlej złożyć wizytę Scrooge'owi.	To niy bōł tyn sōm, zŏwzity Scrooge, co przōdzij, i chociŏż ôczy ôd ducha były miyłe i szczodliwe, ôn niy chcioł ich trefić.
Jakżeż Duch był szczęśliwy!	Jaki duch bōł rŏd!
— Wszyscy o tym wiedzą! — zawołał Piotr.	– Przecã kożdy to wiy! – pedzioł Pyjter.
Czy go nie widzisz?	Widzisz go?
Scrooge często potem zapewniał, że nigdy w życiu nie słyszał słów, które by równie przyjemnie brzmiały.	Radosnych Godōw wōm!” I niyrŏz Scrooge niyskorzij gŏdoł, iże to były nojpiykniyjsze słowa, jake w życiu słyszoł.
Miała milutką, naiwną twarzyczkę z ponętnymi dołkami na policzkach, prześliczne, jakby stworzone do pocałunków usta i najsłoneczniejszą parę ocząt.	Miała te take dołki we liczkach, jak sie śmioła, twarz, co wyglōndała choby troszkã udziwiōnŏ, małe usta zrychtowane do pocałunkōw i nojjaśniyjsze ôczy, jake kej ino by szło ôbejzdrzeć.
Na próżno, lelku, przelatujesz jeszcze raz i wołasz: „Nie!	Darmo, lelku, przelatujesz jeszcze roz i wołosz: „Niy!
— Macie drugiego idiotę! — mruczał Scrooge, który słyszał wymianę życzeń. — Mój pomocnik, posiadający rodzinę i piętnaście szylingów tygodniowo na jej utrzymanie, mówi o „wesołych świętach”!	– Jeszcze jedyn – zabuczoł Scrooge, jak go usłyszoł. – Mōj pisŏrz z piytnŏstōma szylingami za tydziyń, żōnōm i familijōm gŏdŏ ô radosnych Godach.
Będę zawsze pamiętał o przeszłości, teraźniejszości i przyszłości.	Bydã żyć w przeszłości, terŏźniyjszości i prziszłości.
Gdy zmierzch zapadł, mąż zakradł się do ogrodu, ale skoro tylko przekroczył mur, ujrzał z przerażeniem, że stoi przed nim czarownica.	We wieczornyj ćmie zeszoł tōż zaś na dōł, ale kej już sie spiōn po murze, to sie zlynknōł strasznie, bo ôbŏczōł czarownicã przed nim stŏć.
— Kopciuszku, a może i ty zechciałabyś pójść na bal?	— Popieluszko, niy chciała byś pōjś na bŏl?
Bob zapewniał, iż uważa to za niemożliwe, aby kiedykolwiek w ogóle upieczono taką gęś.	Bob pedzioł, co niy wierzōł, iże takŏ gyńś idzie zrobić.
— Uczyń to więc.	– To siednij sie.
Na rogu głównej ulicy robotnicy naprawiający rury gazowe rozpalili wielkie ognisko, wokoło którego zebrała się gromadka obdartych mężczyzn i dzieci; grzali oni swe skostniałe ręce i mrużyli oczy, rozkoszując się przyjemnym ciepłem.	Na głōwnyj ulicy, na winklu ôd gyrichtu, pŏru robotnikōw sprawiało gazowe ruły i zatopiyło srogõ fojerã we koksiŏku, a naôbkoło niego grupa ôbtarganych chopōw i synkōw sie sebrała, coby zagrzŏć rynce.
W onym blasku widać było wszystko doskonale: wcięte boki, struny i zagiętą rączkę.	W tym blasku było widać wszysko perfekt: wetniynte kraje, struny i zagiynto rōnczka.
— A to Walentyn! — ciągnął dalej Scrooge. — I jego dziki brat, Orson; idą tu obaj!	Biydny synek! – pedzioł Scrooge – I Walynty, i Orsōn!
No, Joe, rozwiąż tłumok, powiedz, co on wart.	Ôtwōrz tyn miech, Joe, i powiydz, wiela za to dostanã.
Scrooge'a z początku dziwiło to, że Duch przywiązuje wagę do tak w gruncie rzeczy błahych rozmów, lecz przeczuwając, że czyni to nie bez celu, zaczął się nad nimi zastanawiać.	Scrooge nojprzōd bōł trochã udziwiōny, iże mŏra mu pokazuje gŏdki tak mało ważne.
